,Browser,Country,Date Submitted,Device,How did you hear about us?,OS,Source URL,User,Medium,OSGroup
69,Firefox 59.0,Indonesia,2018-02-16 06:47:38,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
70,Safari 11.0.3,Indonesia,2018-02-17 08:02:17,desktop,Media Publishing,Mac OS X 10.13.3,https://algorit.ma/,00000000,Media Publishing,Mac
71,Firefox 58.0,Indonesia,2018-02-18 04:18:07,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
72,Chrome 64.0.3282,Indonesia,2018-02-19 03:57:20,desktop,Email,Windows 7,https://algorit.ma/,00000000,Email,Windows
73,Chrome 64.0.3282,Indonesia,2018-02-19 04:15:27,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
74,Firefox 56.0.4,Indonesia,2018-02-19 16:32:52,desktop,Others - T-shirt,Windows 7,https://algorit.ma/,00000000,Others ,Windows
75,Firefox 58.0,Indonesia,2018-02-19 22:22:40,desktop,Social Media / Online Ads,Windows 8.1,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
76,Chrome 64.0.3282,Indonesia,2018-02-20 06:24:49,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
77,Firefox 52.0,Indonesia,2018-02-20 08:52:47,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
78,Chrome 64.0.3282,Indonesia,2018-02-20 15:01:33,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
79,Firefox 58.0,Indonesia,2018-02-21 07:13:01,desktop,Search Engine,Ubuntu,https://algorit.ma/,00000000,Search Engine,Linux
80,Chrome 64.0.3282,Indonesia,2018-02-21 08:35:09,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
81,Firefox 57.0,Indonesia,2018-02-21 09:16:14,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
82,Chrome 63.0.3239,Indonesia,2018-02-22 04:23:35,desktop,Friends / Family - algorit.ma,Windows 7,https://algorit.ma/,00000000,Friends / Family ,Windows
83,Safari 11.0.3,Indonesia,2018-02-23 01:14:42,desktop,Others - eventbrite,Mac OS X 10.13.3,https://algorit.ma/,00000000,Others ,Mac
84,Chrome 64.0.3282,Indonesia,2018-02-23 06:35:26,desktop,Social Media / Online Ads,Linux,https://algorit.ma/,00000000,Social Media / Online Ads,Linux
85,Chrome 64.0.3282,Indonesia,2018-02-23 07:25:53,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
86,Chrome 63.0.3239,Indonesia,2018-02-25 00:55:55,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
87,Chrome 62.0.3202,Indonesia,2018-02-26 04:30:05,desktop,Search Engine,Linux,https://algorit.ma/,00000000,Search Engine,Linux
88,Edge 16.16299,Indonesia,2018-02-27 01:19:46,desktop,Others - workshop,Windows 10,https://algorit.ma/,00000000,Others ,Windows
89,Chrome 63.0.3239,Indonesia,2018-02-27 02:13:43,desktop,Others - koinworks,Windows 7,https://algorit.ma/,00000000,Others ,Windows
90,Firefox 58.0,Indonesia,2018-02-27 02:58:51,desktop,Others - IDEA,Windows 7,https://algorit.ma/,00000000,Others ,Windows
91,Chrome 64.0.3282,Indonesia,2018-02-27 03:12:59,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
92,Chrome 63.0.3239,Indonesia,2018-02-28 10:41:26,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
93,Chrome 64.0.3282,Indonesia,2018-02-28 13:46:05,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
94,Firefox 58.0,Australia,2018-03-02 10:09:52,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
95,Chrome 64.0.3282,Indonesia,2018-03-05 10:18:52,desktop,Media Publishing,Mac OS X 10.11.5,https://algorit.ma/,00000000,Media Publishing,Mac
96,Firefox 58.0,Indonesia,2018-03-05 15:13:15,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
97,Chrome 64.0.3282,Indonesia,2018-03-06 06:21:18,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
98,Chrome 64.0.3282,Indonesia,2018-03-06 19:00:39,desktop,Social Media / Online Ads,Windows 8.1,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
99,Chrome 64.0.3282,Indonesia,2018-03-06 19:00:47,desktop,Social Media / Online Ads,Mac OS X 10.13.1,https://algorit.ma/,00000000,Social Media / Online Ads,Mac
100,Chrome 64.0.3282,Indonesia,2018-03-06 19:00:48,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
101,Firefox 58.0,Indonesia,2018-03-07 19:53:12,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
102,Chrome 64.0.3282,Indonesia,2018-03-09 08:37:35,desktop,"Friends / Family - A friend suggested to check out algoritma, which I am doing now.",Mac OS X 10.13.3,https://algorit.ma/,00000000,Friends / Family ,Mac
103,Chrome 64.0.3282,Indonesia,2018-03-12 20:13:14,desktop,Others - Went to seminar from Iykra at Block 71,Windows 10,https://algorit.ma/,00000000,Others ,Windows
104,Firefox 56.0,Indonesia,2018-03-13 18:26:08,desktop,Others - Purwadhika techwave,Windows 10,https://algorit.ma/,00000000,Others ,Windows
105,Firefox 58.0,Indonesia,2018-03-15 07:35:31,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/?user_ref=www.kalibrr.id_organic_job-board__1,00000000,Social Media / Online Ads,Windows
106,Chrome 64.0.3282,Indonesia,2018-03-15 12:43:36,desktop,Social Media / Online Ads,Windows 8.1,https://algorit.ma/?user_ref=www.kalibrr.com_organic_candidate__saved-jobs,00000000,Social Media / Online Ads,Windows
107,Chrome Mobile 65.0.3325,Indonesia,2018-03-17 10:18:37,phone,Social Media / Online Ads,Android 7.1.1,https://algorit.ma/,00000000,Social Media / Online Ads,Android
108,Safari 11.0.3,Indonesia,2018-03-18 05:56:50,desktop,Search Engine,Mac OS X 10.12.6,https://algorit.ma/,00000000,Search Engine,Mac
109,Chrome 65.0.3325,Indonesia,2018-03-18 13:57:18,desktop,Search Engine,Mac OS X 10.13.3,https://algorit.ma/,00000000,Search Engine,Mac
110,Chrome 64.0.3282,Indonesia,2018-03-19 14:48:52,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
111,Chrome 64.0.3282,Indonesia,2018-03-20 10:40:28,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
112,Chrome 64.0.3282,Indonesia,2018-03-20 11:23:00,desktop,Others - Binus University,Windows 10,https://algorit.ma/,00000000,Others ,Windows
113,Firefox 58.0,Indonesia,2018-03-20 11:49:27,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
114,Opera 51.0.2830,Indonesia,2018-03-22 02:28:08,desktop,Email,Windows 7,https://algorit.ma/?inf_contact_key=13a1300ae9d3f2bbece7d2e22fbc73582a9304a4752c602625a45bd2679c433e,00000000,Email,Windows
115,Chrome 64.0.3282,Indonesia,2018-03-22 02:38:24,desktop,Email,Windows 10,https://algorit.ma/,00000000,Email,Windows
116,Chrome 65.0.3325,Indonesia,2018-03-22 12:50:59,desktop,Email,Windows 10,https://algorit.ma/,00000000,Email,Windows
117,Firefox 59.0,Indonesia,2018-03-23 01:45:25,desktop,Others - Telegroup Data Science,Windows 7,https://algorit.ma/,00000000,Others ,Windows
118,Chrome 65.0.3325,Indonesia,2018-03-23 11:42:59,desktop,Social Media / Online Ads,Mac OS X 10.13.3,https://algorit.ma/,00000000,Social Media / Online Ads,Mac
119,Opera 51.0.2830,Indonesia,2018-03-23 13:37:28,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
120,Chrome 65.0.3325,Indonesia,2018-03-24 02:30:17,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
121,Edge 16.16299,Indonesia,2018-03-24 05:55:48,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
122,Chrome 65.0.3325,India,2018-03-25 09:05:40,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
123,Chrome 65.0.3325,Indonesia,2018-03-25 16:49:47,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
124,Chrome 65.0.3325,Indonesia,2018-03-26 14:48:50,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
125,Chrome 63.0.3239,Indonesia,2018-03-27 05:35:28,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
126,Firefox 59.0,Indonesia,2018-03-27 05:56:05,desktop,Others - gojek,Ubuntu,https://algorit.ma/,00000000,Others ,Linux
127,Chrome 65.0.3325,Indonesia,2018-03-28 06:05:55,desktop,Media Publishing,Windows 8.1,https://algorit.ma/,00000000,Media Publishing,Windows
128,Mobile Safari 11.0,Indonesia,2018-03-28 11:07:28,phone,Email,iOS 11.2.6,https://algorit.ma/,00000000,Email,iOS
129,Chrome 64.0.3282,Indonesia,2018-03-29 10:32:27,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
130,Chrome 65.0.3325,Indonesia,2018-03-30 00:25:52,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
131,Chrome 65.0.3325,Indonesia,2018-04-03 10:25:58,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
132,Firefox 59.0,Indonesia,2018-04-04 10:15:59,desktop,Media Publishing,Ubuntu,https://algorit.ma/,00000000,Media Publishing,Linux
133,Firefox 59.0,Indonesia,2018-04-04 16:19:05,desktop,Others - hacktiv8,Ubuntu,https://algorit.ma/,00000000,Others ,Linux
134,Chrome Mobile 65.0.3325,Indonesia,2018-04-05 01:21:32,phone,Media Publishing,Android 7.0,https://algorit.ma/,00000000,Media Publishing,Android
135,Chrome 65.0.3325,Indonesia,2018-04-05 03:22:51,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
136,Chrome 65.0.3325,Indonesia,2018-04-05 08:31:34,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
137,Chrome 65.0.3325,Indonesia,2018-04-06 01:57:02,desktop,Media Publishing,Mac OS X 10.10.5,https://algorit.ma/,00000000,Media Publishing,Mac
138,Chrome 58.0.3029,Indonesia,2018-04-09 02:19:01,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
139,Chrome 65.0.3325,Indonesia,2018-04-10 03:31:53,desktop,Email,Windows 7,https://algorit.ma/?inf_contact_key=ba00b41a9f59b020c0f53757b5384dcef91869197c21074e800d9aa44cfb264b,00000000,Email,Windows
140,Chrome 31.0.1650,Indonesia,2018-04-10 04:36:25,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
141,Chrome 65.0.3325,Indonesia,2018-04-11 02:00:09,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
142,Firefox 56.0,Indonesia,2018-04-11 04:38:05,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
143,Chrome 65.0.3325,Indonesia,2018-04-11 06:40:37,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
144,Chrome 65.0.3325,Indonesia,2018-04-12 06:08:33,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
145,Edge 16.16299,Indonesia,2018-04-12 06:11:27,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
146,Firefox 50.0,Indonesia,2018-04-12 07:06:33,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
147,Chrome 65.0.3325,Indonesia,2018-04-12 08:31:49,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
148,Chrome 44.0.2403,Malaysia,2018-04-13 02:06:23,desktop,Friends / Family - azera,Chrome OS 7077.134.0,https://algorit.ma/,00000000,Friends / Family ,Linux
149,Chrome 55.0.2883,Indonesia,2018-04-13 07:05:48,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
150,Chrome 65.0.3325,Indonesia,2018-04-13 15:10:08,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
151,Chrome 65.0.3325,India,2018-04-15 09:42:38,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
152,Opera 52.0.2871,Indonesia,2018-04-17 00:52:56,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
153,Chrome 65.0.3325,Indonesia,2018-04-17 04:06:19,desktop,Media Publishing,Mac OS X 10.12.6,https://algorit.ma/,00000000,Media Publishing,Mac
154,Chrome 65.0.3325,Indonesia,2018-04-17 07:05:10,desktop,Email,Windows 7,https://algorit.ma/,00000000,Email,Windows
155,Chrome 65.0.3325,Indonesia,2018-04-18 12:59:21,desktop,Friends / Family - from a friend,Windows 10,https://algorit.ma/,00000000,Friends / Family ,Windows
156,Chrome 66.0.3359,Indonesia,2018-04-20 03:24:37,desktop,Email,Windows 7,https://algorit.ma/,90ff7191,Email,Windows
157,Chrome 65.0.3325,Indonesia,2018-04-23 07:44:14,desktop,Others - Gojek,Windows 10,https://algorit.ma/,3dc09927,Others ,Windows
158,Chrome 66.0.3359,Indonesia,2018-04-23 16:48:55,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,a86010b3,Social Media / Online Ads,Windows
159,Firefox 58.0,Indonesia,2018-04-24 03:27:30,desktop,Others - GOJEK,Windows 10,https://algorit.ma/,82d6541a,Others ,Windows
160,Chrome 65.0.3325,Indonesia,2018-04-24 06:43:27,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,c3fc6a1b,Social Media / Online Ads,Windows
161,Chrome 65.0.3325,Indonesia,2018-04-25 00:52:57,desktop,Media Publishing,Windows 10,https://algorit.ma/,6dd56492,Media Publishing,Windows
162,Chrome Mobile 64.0.3282,Indonesia,2018-04-25 13:54:31,phone,Social Media / Online Ads,Android 4.4.4,https://algorit.ma/,2463c83b,Social Media / Online Ads,Android
163,Chrome 65.0.3325,Indonesia,2018-04-28 06:05:45,tablet,Others - Gojek,Android 7.0,https://algorit.ma/,b94f79e8,Others ,Android
164,Opera 52.0.2871,Indonesia,2018-04-30 12:10:29,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,2f906f70,Social Media / Online Ads,Windows
165,Chrome 66.0.3359,Indonesia,2018-05-02 01:27:28,desktop,Search Engine,Windows 10,https://algorit.ma/,7d7a2de4,Search Engine,Windows
166,Chrome 66.0.3359,Indonesia,2018-05-02 08:00:36,desktop,Search Engine,Windows 7,https://algorit.ma/,6b8df514,Search Engine,Windows
167,Chrome 66.0.3359,Indonesia,2018-05-02 08:15:26,desktop,Search Engine,Mac OS X 10.10.5,https://algorit.ma/,5970e0bd,Search Engine,Mac
168,Chrome 66.0.3359,Indonesia,2018-05-03 07:36:04,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
169,Chrome 66.0.3359,Indonesia,2018-05-03 11:07:25,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
170,Chrome 66.0.3359,Indonesia,2018-05-04 04:36:37,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
171,Chrome 66.0.3359,Indonesia,2018-05-04 11:40:07,desktop,Search Engine,Mac OS X 10.13.3,https://algorit.ma/,00000000,Search Engine,Mac
172,Firefox 60.0,Indonesia,2018-05-04 18:48:24,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
173,Chrome 66.0.3359,Indonesia,2018-05-05 11:34:19,desktop,Others - talkshow internship,Windows 10,https://algorit.ma/,00000000,Others ,Windows
174,Chrome 66.0.3359,Indonesia,2018-05-06 18:31:00,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
175,Firefox 59.0,Indonesia,2018-05-06 23:24:50,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
176,Chrome 59.0.3071,Singapore,2018-05-07 06:10:33,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
